epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5358,4.02948,5.61648,3.33554,0,0,0,0,5.48532,6.7997,4.17297,0.000471423,0.000471423,0.000471423
2,28.3147,2.10929,2.53408,1.86588,0.47036,0.65603,0.47361,0.22251,2.04996,2.47741,1.82996,0.000938373,0.000938373,0.000938373
3,39.7713,1.80885,1.95395,1.57515,0.68601,0.68423,0.69995,0.42803,1.47976,1.46824,1.40957,0.00139589,0.00139589,0.00139589
4,50.9983,1.67173,1.63236,1.44942,0.79689,0.64719,0.76807,0.46343,1.48798,1.38959,1.38635,0.00138656,0.00138656,0.00138656
5,62.2473,1.58563,1.42171,1.38327,0.68624,0.80215,0.81369,0.42821,1.55919,1.22955,1.33505,0.00137241,0.00137241,0.00137241
6,73.6133,1.55005,1.29394,1.33403,0.82695,0.75627,0.81635,0.35598,1.94248,1.20047,1.50852,0.00135826,0.00135826,0.00135826
7,84.6044,1.51428,1.1829,1.31232,0.72782,0.85932,0.90237,0.56125,1.39839,1.01595,1.30349,0.00134412,0.00134412,0.00134412
8,95.96,1.50176,1.12362,1.28911,0.86778,0.80083,0.86095,0.55433,1.39331,0.92717,1.2574,0.00132997,0.00132997,0.00132997
9,107.338,1.45261,1.06021,1.2584,0.84084,0.82593,0.86677,0.60293,1.27457,0.93175,1.258,0.00131582,0.00131582,0.00131582
10,118.622,1.45755,1.03904,1.26197,0.75981,0.91011,0.88859,0.60763,1.26199,0.99301,1.18726,0.00130168,0.00130168,0.00130168
11,130.025,1.40815,0.99091,1.23218,0.89987,0.84491,0.93841,0.58324,1.37064,0.84126,1.20619,0.00128753,0.00128753,0.00128753
12,141.26,1.38444,0.91811,1.23062,0.88436,0.89651,0.91367,0.61676,1.24183,0.92147,1.17058,0.00127338,0.00127338,0.00127338
13,152.649,1.38727,0.93619,1.21447,0.89361,0.88608,0.92027,0.63763,1.20117,0.81148,1.17623,0.00125923,0.00125923,0.00125923
14,164.033,1.35598,0.9075,1.2027,0.87434,0.90169,0.93538,0.60664,1.31263,0.82713,1.18965,0.00124509,0.00124509,0.00124509
15,175.329,1.34,0.8737,1.20016,0.81766,0.7877,0.91285,0.55928,1.39147,0.91013,1.21779,0.00123094,0.00123094,0.00123094
16,186.56,1.35368,0.88705,1.20632,0.90458,0.91064,0.95891,0.67332,1.17953,0.78921,1.13776,0.00121679,0.00121679,0.00121679
17,197.872,1.32858,0.8653,1.18219,0.79169,0.94265,0.94114,0.61603,1.28871,0.83787,1.20739,0.00120265,0.00120265,0.00120265
18,209.113,1.31007,0.85149,1.17961,0.88625,0.80993,0.92617,0.61409,1.14487,0.81927,1.13276,0.0011885,0.0011885,0.0011885
19,220.6,1.32399,0.83694,1.18216,0.95848,0.91543,0.97473,0.67553,1.11181,0.71671,1.11813,0.00117435,0.00117435,0.00117435
