epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2977,3.81059,3.0155,3.79016,0,0,0,0,4.60423,4.41826,4.16172,0.000408497,0.000408497,0.000408497
2,35.9286,2.44393,1.69377,2.75346,0.51752,0.23529,0.28194,0.10289,2.86509,2.49334,2.87168,0.000816994,0.000816994,0.000816994
3,58.2482,2.15111,1.4798,2.30617,0.37671,0.47538,0.47688,0.20358,2.17753,1.94267,2.34834,0.00121724,0.00121724,0.00121724
4,76.8279,1.98207,1.35983,2.1127,0.67542,0.5856,0.60592,0.34362,1.60631,1.33501,1.92398,0.00121287,0.00121287,0.00121287
5,92.9878,1.84179,1.2263,1.9172,0.59563,0.65194,0.63426,0.33641,1.82076,1.42004,1.95073,0.0012005,0.0012005,0.0012005
6,109.021,1.7506,1.14367,1.83896,0.76195,0.77416,0.8368,0.43984,1.73146,1.14354,1.78396,0.00118812,0.00118812,0.00118812
7,126.363,1.67725,1.07583,1.75638,0.67096,0.77515,0.79097,0.44816,1.50919,1.14891,1.70513,0.00117575,0.00117575,0.00117575
8,142.397,1.63268,1.05043,1.7262,0.77925,0.67082,0.79874,0.41999,1.62888,1.16135,1.76797,0.00116337,0.00116337,0.00116337
9,159.512,1.60698,0.9879,1.65423,0.80171,0.83816,0.89364,0.5392,1.49856,1.00958,1.6605,0.001151,0.001151,0.001151
10,175.907,1.5402,0.94351,1.63649,0.86483,0.81426,0.87203,0.547,1.41502,0.91747,1.60641,0.00113863,0.00113863,0.00113863
11,191.75,1.53267,0.9011,1.59103,0.87686,0.79508,0.88678,0.50603,1.53604,0.9584,1.65526,0.00112625,0.00112625,0.00112625
12,207.479,1.50464,0.89256,1.58057,0.8145,0.80522,0.86583,0.51632,1.46102,0.95744,1.64414,0.00111388,0.00111388,0.00111388
13,223.316,1.47066,0.89072,1.56549,0.867,0.82246,0.91289,0.61606,1.22002,0.84623,1.5031,0.0011015,0.0011015,0.0011015
14,239.174,1.43374,0.83112,1.54264,0.82121,0.89074,0.91391,0.59836,1.29658,0.85527,1.52964,0.00108913,0.00108913,0.00108913
15,254.91,1.40833,0.79633,1.49484,0.86514,0.93524,0.94588,0.63642,1.24601,0.76058,1.47503,0.00107675,0.00107675,0.00107675
16,270.742,1.42695,0.79921,1.50014,0.90696,0.90417,0.95137,0.66961,1.14435,0.72002,1.44118,0.00106437,0.00106437,0.00106437
