epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.872,3.51037,5.41615,3.11177,0.27942,0.24313,0.17601,0.08243,1.93254,3.30828,1.71156,0.00332695,0.00332695,0.00332695
2,118.266,1.87312,2.85744,1.63307,0.36408,0.56326,0.32184,0.17053,1.63436,3.03851,1.36333,0.00659434,0.00659434,0.00659434
3,172.047,1.6523,2.39739,1.41298,0.40085,0.65994,0.52451,0.28048,1.59049,2.00599,1.29341,0.00979574,0.00979574,0.00979574
4,225.415,1.53031,2.04435,1.30887,0.51048,0.69361,0.61239,0.37873,1.27644,1.42427,1.11988,0.009703,0.009703,0.009703
5,279.049,1.42617,1.75036,1.24092,0.54013,0.73993,0.60237,0.36444,1.33869,1.41473,1.13981,0.009604,0.009604,0.009604
6,332.511,1.36912,1.55818,1.2099,0.42769,0.78353,0.63352,0.43984,1.04815,1.29583,1.02979,0.009505,0.009505,0.009505
7,385.97,1.33044,1.40901,1.18294,0.58806,0.85503,0.71381,0.46834,1.12116,1.13308,1.05133,0.009406,0.009406,0.009406
8,439.397,1.29418,1.326,1.17426,0.54732,0.8687,0.74277,0.52818,0.96113,1.1087,1.00305,0.009307,0.009307,0.009307
9,492.866,1.2755,1.24156,1.15157,0.63949,0.83394,0.77121,0.56807,0.88396,0.9832,0.98338,0.009208,0.009208,0.009208
10,546.183,1.26325,1.17706,1.14646,0.68627,0.86195,0.80752,0.60353,0.89738,0.92994,0.98745,0.009109,0.009109,0.009109
11,599.622,1.24749,1.11703,1.1373,0.73478,0.85516,0.84296,0.61762,0.95627,0.84132,0.99081,0.00901,0.00901,0.00901
12,653.146,1.23666,1.07214,1.12901,0.79847,0.89017,0.86622,0.65934,0.83034,0.76375,0.9567,0.008911,0.008911,0.008911
13,706.601,1.21341,1.01617,1.12568,0.68905,0.91917,0.88109,0.66457,0.85889,0.719,0.95586,0.008812,0.008812,0.008812
14,760.054,1.21548,0.97888,1.11917,0.76076,0.89616,0.8983,0.69538,0.80575,0.73096,0.94606,0.008713,0.008713,0.008713
15,813.559,1.20466,0.95041,1.11646,0.72037,0.9029,0.88859,0.68145,0.81431,0.70664,0.94719,0.008614,0.008614,0.008614
16,866.93,1.18919,0.92363,1.10828,0.79241,0.87808,0.89629,0.68155,0.81396,0.68128,0.94465,0.008515,0.008515,0.008515
17,920.432,1.19058,0.89718,1.11034,0.79391,0.86935,0.8855,0.66176,0.87411,0.65444,0.97007,0.008416,0.008416,0.008416
18,973.879,1.18072,0.87732,1.10643,0.89485,0.86577,0.912,0.69034,0.83753,0.59836,0.95321,0.008317,0.008317,0.008317
19,1027.33,1.16499,0.85379,1.0964,0.83937,0.90683,0.91017,0.70884,0.78511,0.57597,0.93695,0.008218,0.008218,0.008218
20,1080.58,1.16883,0.84898,1.10002,0.85853,0.87214,0.90764,0.6936,0.81356,0.5802,0.94605,0.008119,0.008119,0.008119
21,1134.04,1.15589,0.82662,1.08934,0.83508,0.90422,0.94203,0.72273,0.77477,0.57597,0.93331,0.00802,0.00802,0.00802
22,1189.19,1.15875,0.82157,1.0944,0.84037,0.9297,0.91971,0.70015,0.8407,0.60731,0.95148,0.007921,0.007921,0.007921
23,1242.86,1.14161,0.80402,1.08815,0.85818,0.90557,0.92869,0.71752,0.80851,0.55254,0.94028,0.007822,0.007822,0.007822
24,1295.15,1.13503,0.79508,1.08673,0.82991,0.89984,0.91836,0.71181,0.81149,0.55265,0.94047,0.007723,0.007723,0.007723
25,1347.55,1.13557,0.78765,1.08553,0.82187,0.93333,0.92637,0.7122,0.78629,0.52867,0.93751,0.007624,0.007624,0.007624
26,1399.86,1.12744,0.76568,1.07684,0.88559,0.88355,0.89403,0.70104,0.75138,0.50437,0.91894,0.007525,0.007525,0.007525
27,1452.1,1.1161,0.75299,1.07845,0.8406,0.92154,0.929,0.7267,0.7651,0.5318,0.92641,0.007426,0.007426,0.007426
28,1504.27,1.11926,0.75825,1.08214,0.88083,0.90439,0.954,0.75217,0.7767,0.5168,0.93023,0.007327,0.007327,0.007327
29,1556.55,1.10881,0.74515,1.07694,0.84748,0.90497,0.94112,0.74468,0.76866,0.5098,0.92746,0.007228,0.007228,0.007228
30,1608.87,1.10859,0.74093,1.07172,0.86024,0.94956,0.96517,0.75701,0.76371,0.49229,0.9248,0.007129,0.007129,0.007129
31,1661.26,1.09479,0.73227,1.06255,0.90642,0.92249,0.95397,0.75381,0.76879,0.48004,0.92707,0.00703,0.00703,0.00703
32,1713.52,1.09036,0.7208,1.06163,0.85079,0.93012,0.92266,0.7234,0.75444,0.49048,0.92053,0.006931,0.006931,0.006931
33,1765.76,1.08287,0.72057,1.06444,0.92391,0.89158,0.92999,0.73155,0.7463,0.48611,0.91798,0.006832,0.006832,0.006832
34,1817.91,1.08082,0.70671,1.06021,0.85716,0.95075,0.93813,0.73483,0.75044,0.45696,0.92213,0.006733,0.006733,0.006733
35,1870.22,1.07167,0.69933,1.05647,0.87486,0.95,0.93241,0.73304,0.76565,0.46374,0.92214,0.006634,0.006634,0.006634
36,1922.28,1.06319,0.68922,1.05381,0.85954,0.94564,0.92583,0.7289,0.76183,0.46543,0.92493,0.006535,0.006535,0.006535
37,1974.66,1.06107,0.68789,1.0497,0.86443,0.94457,0.94541,0.74788,0.75399,0.46429,0.91837,0.006436,0.006436,0.006436
38,2026.71,1.05888,0.68456,1.04909,0.92483,0.91536,0.95835,0.76164,0.7426,0.4548,0.91594,0.006337,0.006337,0.006337
39,2079.35,1.05566,0.68237,1.04562,0.90789,0.93168,0.95433,0.75919,0.74155,0.44799,0.91702,0.006238,0.006238,0.006238
40,2131.51,1.04872,0.67468,1.048,0.91363,0.93135,0.95448,0.76221,0.74373,0.454,0.91874,0.006139,0.006139,0.006139
41,2183.63,1.04073,0.66612,1.03957,0.88771,0.92792,0.95557,0.76403,0.74071,0.43843,0.91539,0.00604,0.00604,0.00604
42,2235.6,1.04285,0.66108,1.04527,0.90414,0.92683,0.96573,0.76898,0.73891,0.43653,0.91947,0.005941,0.005941,0.005941
43,2287.57,1.03725,0.65348,1.04132,0.90305,0.9342,0.9512,0.76049,0.72802,0.43903,0.90974,0.005842,0.005842,0.005842
44,2339.32,1.03178,0.65644,1.03789,0.91172,0.93607,0.95094,0.75442,0.73432,0.43741,0.9105,0.005743,0.005743,0.005743
45,2391.27,1.0299,0.64652,1.04118,0.91095,0.92153,0.95058,0.76725,0.71227,0.44194,0.90867,0.005644,0.005644,0.005644
46,2443.07,1.02278,0.6438,1.03829,0.9002,0.91841,0.94862,0.76171,0.71063,0.44262,0.90279,0.005545,0.005545,0.005545
47,2494.99,1.02256,0.64102,1.0357,0.9186,0.92195,0.95665,0.76891,0.71272,0.42404,0.90353,0.005446,0.005446,0.005446
48,2546.67,1.01469,0.63297,1.03573,0.92126,0.92184,0.95464,0.75941,0.71912,0.4297,0.90956,0.005347,0.005347,0.005347
49,2598.45,1.01228,0.62738,1.02979,0.89891,0.92839,0.95437,0.77335,0.72338,0.42597,0.90774,0.005248,0.005248,0.005248
50,2650.59,1.01605,0.62579,1.02945,0.90834,0.9211,0.95765,0.76991,0.71619,0.41353,0.90881,0.005149,0.005149,0.005149
51,2702.44,1.00973,0.62177,1.02693,0.92604,0.92689,0.95693,0.77542,0.70166,0.41735,0.90246,0.00505,0.00505,0.00505
52,2754.62,1.00593,0.62125,1.02925,0.90854,0.92266,0.94508,0.77201,0.70505,0.41916,0.90123,0.004951,0.004951,0.004951
