epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.634,1.07206,1.61463,0.9601,0.70868,0.6923,0.7515,0.5477,1.0011,0.98783,0.88972,0.0033286,0.0033286,0.0033286
2,535.16,1.01475,0.90244,0.93619,0.75098,0.87404,0.86827,0.65468,0.85756,0.70665,0.87172,0.00659598,0.00659598,0.00659598
3,926.645,1.03268,0.81962,0.93949,0.81084,0.84184,0.86613,0.66027,0.8433,0.68245,0.86528,0.00979736,0.00979736,0.00979736
4,1313.13,1.00386,0.76118,0.93093,0.83584,0.91286,0.91515,0.68446,0.82348,0.59418,0.85862,0.009703,0.009703,0.009703
5,1597.21,0.97073,0.68315,0.92044,0.88427,0.84924,0.91444,0.69481,0.81785,0.54671,0.86061,0.009604,0.009604,0.009604
6,1827.33,0.93513,0.63279,0.91161,0.84639,0.9381,0.92842,0.69051,0.85534,0.51883,0.8638,0.009505,0.009505,0.009505
7,2057.66,0.9126,0.59952,0.90467,0.88367,0.88295,0.91497,0.72023,0.7741,0.56244,0.8473,0.009406,0.009406,0.009406
8,2287.9,0.89851,0.57137,0.90027,0.86179,0.94211,0.94608,0.73207,0.78686,0.46812,0.84604,0.009307,0.009307,0.009307
9,2518.13,0.88276,0.55046,0.89992,0.92689,0.91143,0.95216,0.74641,0.75331,0.45196,0.84284,0.009208,0.009208,0.009208
10,2748.37,0.87352,0.53765,0.89635,0.93789,0.91671,0.94429,0.73272,0.72486,0.42777,0.83611,0.009109,0.009109,0.009109
11,2978.81,0.86341,0.52562,0.89231,0.94788,0.9522,0.95996,0.7507,0.79662,0.43135,0.85326,0.00901,0.00901,0.00901
12,3209.26,0.85527,0.51192,0.89158,0.93394,0.92434,0.96131,0.74106,0.74168,0.43618,0.84126,0.008911,0.008911,0.008911
13,3439.7,0.85062,0.50571,0.88942,0.9141,0.91566,0.94177,0.72904,0.754,0.43886,0.84068,0.008812,0.008812,0.008812
14,3670.13,0.8331,0.49471,0.88329,0.89614,0.89773,0.9439,0.73071,0.7177,0.41554,0.83362,0.008713,0.008713,0.008713
15,3900.6,0.83313,0.48762,0.88705,0.93577,0.94517,0.96023,0.75286,0.75219,0.40599,0.84059,0.008614,0.008614,0.008614
16,4130.93,0.82776,0.47969,0.8839,0.91191,0.92736,0.94394,0.73981,0.77022,0.40359,0.84449,0.008515,0.008515,0.008515
17,4361.44,0.81557,0.47177,0.88144,0.93598,0.92641,0.95271,0.745,0.71355,0.40457,0.83254,0.008416,0.008416,0.008416
18,4591.95,0.82082,0.47147,0.88274,0.92761,0.95713,0.95537,0.76875,0.68964,0.40125,0.82868,0.008317,0.008317,0.008317
19,4822.63,0.81653,0.46518,0.88045,0.94181,0.94952,0.95908,0.76318,0.69008,0.38689,0.82771,0.008218,0.008218,0.008218
20,5053.07,0.7995,0.45097,0.87599,0.93719,0.93923,0.96488,0.75622,0.68519,0.37644,0.82823,0.008119,0.008119,0.008119
21,5283.72,0.79945,0.45188,0.8772,0.94218,0.94368,0.95662,0.76998,0.70086,0.3749,0.83045,0.00802,0.00802,0.00802
22,5514.17,0.79327,0.44398,0.8763,0.92917,0.95102,0.95404,0.76759,0.6923,0.38057,0.83058,0.007921,0.007921,0.007921
