epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.714,3.13373,2.56361,3.05247,0.47556,0.45561,0.46611,0.19412,2.57869,1.93018,2.69149,0.00041369,0.00041369,0.00041369
2,947.698,1.76608,1.2031,1.77347,0.6484,0.78656,0.73597,0.41946,2.08763,1.46933,2.21549,0.000822137,0.000822137,0.000822137
3,1267.61,1.51145,1.00419,1.49567,0.6554,0.77722,0.7832,0.46828,1.86903,1.4502,2.04635,0.00122233,0.00122233,0.00122233
4,1605.14,1.39599,0.9108,1.40298,0.81858,0.88657,0.88326,0.55756,1.51124,1.13575,1.80714,0.00121287,0.00121287,0.00121287
5,1987.7,1.3218,0.82803,1.32643,0.72856,0.8199,0.81853,0.46229,1.81912,1.27669,1.88592,0.0012005,0.0012005,0.0012005
6,2529.74,1.29451,0.77738,1.30033,0.83868,0.85842,0.91093,0.62801,1.43125,1.11799,1.73127,0.00118812,0.00118812,0.00118812
7,3050.88,1.2028,0.70971,1.24332,0.89347,0.89502,0.92773,0.65737,1.36816,0.93316,1.64903,0.00117575,0.00117575,0.00117575
8,3436.11,1.17685,0.6768,1.22523,0.89094,0.90317,0.92114,0.68199,1.34393,0.97625,1.67711,0.00116337,0.00116337,0.00116337
9,3737.85,1.15932,0.65476,1.21402,0.8575,0.92036,0.91863,0.6233,1.43796,0.9928,1.66596,0.001151,0.001151,0.001151
10,4058.41,1.12459,0.62915,1.1915,0.90175,0.94841,0.95341,0.66088,1.28855,0.83527,1.54889,0.00113863,0.00113863,0.00113863
11,4370.24,1.13657,0.62002,1.20102,0.92357,0.91325,0.95591,0.68181,1.37343,0.75999,1.60223,0.00112625,0.00112625,0.00112625
12,4694.07,1.09018,0.5913,1.16615,0.92125,0.89838,0.94724,0.71886,1.24261,0.85287,1.55336,0.00111388,0.00111388,0.00111388
13,5072.76,1.07947,0.58394,1.16549,0.89491,0.95758,0.95776,0.71079,1.19565,0.72716,1.5371,0.0011015,0.0011015,0.0011015
14,5433.9,1.07269,0.57015,1.15458,0.89574,0.96221,0.94953,0.69648,1.26482,0.76925,1.52774,0.00108913,0.00108913,0.00108913
15,5738.3,1.04625,0.54737,1.13606,0.93541,0.93951,0.96789,0.74941,1.17444,0.69547,1.51423,0.00107675,0.00107675,0.00107675
16,6095.14,1.03712,0.54703,1.14282,0.92507,0.95966,0.97041,0.74074,1.25526,0.7042,1.52393,0.00106437,0.00106437,0.00106437
17,6446.4,1.03194,0.5393,1.13368,0.92796,0.96407,0.96526,0.75434,1.18874,0.67482,1.56635,0.001052,0.001052,0.001052
18,6818.67,1.02764,0.53021,1.1335,0.95233,0.95518,0.97006,0.78229,1.04178,0.60542,1.42441,0.00103962,0.00103962,0.00103962
19,7178.34,1.02107,0.52144,1.12153,0.95493,0.963,0.97456,0.77771,1.0332,0.58229,1.40344,0.00102725,0.00102725,0.00102725
20,7563.51,0.99631,0.50839,1.10731,0.94642,0.9686,0.97814,0.79588,1.04512,0.59352,1.45022,0.00101488,0.00101488,0.00101488
21,7922.14,0.98429,0.50842,1.11511,0.94082,0.96786,0.97248,0.79113,1.04251,0.6086,1.42522,0.0010025,0.0010025,0.0010025
22,8308.27,0.98376,0.50065,1.10049,0.94754,0.9578,0.97293,0.76213,1.13609,0.6441,1.51673,0.000990125,0.000990125,0.000990125
23,8663.49,0.97683,0.50028,1.11245,0.94614,0.95326,0.97257,0.7807,1.03349,0.71362,1.41943,0.00097775,0.00097775,0.00097775
24,9037.55,0.97968,0.49085,1.10337,0.93166,0.97574,0.97567,0.78249,1.03791,0.6686,1.42648,0.000965375,0.000965375,0.000965375
25,9406.17,0.96708,0.48434,1.09773,0.93561,0.98411,0.9833,0.80186,1.01752,0.55251,1.43839,0.000953,0.000953,0.000953
26,9780.64,0.95093,0.47785,1.09467,0.93647,0.97796,0.97831,0.78423,1.02363,0.55455,1.38534,0.000940625,0.000940625,0.000940625
27,10124.9,0.94802,0.47894,1.08744,0.95345,0.97734,0.97651,0.78159,1.0816,0.59446,1.44121,0.00092825,0.00092825,0.00092825
28,10526.5,0.9483,0.47549,1.08931,0.96193,0.97755,0.97398,0.78889,0.98858,0.57369,1.38145,0.000915875,0.000915875,0.000915875
29,10860.7,0.93387,0.46539,1.07816,0.96011,0.97587,0.97539,0.80729,1.03827,0.51544,1.46269,0.0009035,0.0009035,0.0009035
30,11246.7,0.91616,0.46038,1.07238,0.96218,0.96881,0.98032,0.80389,0.963,0.54445,1.38035,0.000891125,0.000891125,0.000891125
31,11584.9,0.93021,0.45864,1.07085,0.94282,0.9864,0.97581,0.80413,0.96161,0.58547,1.39097,0.00087875,0.00087875,0.00087875
32,11935.5,0.92538,0.45706,1.07575,0.96085,0.9777,0.97794,0.80486,1.02002,0.57232,1.44005,0.000866375,0.000866375,0.000866375
33,12345.5,0.92277,0.45538,1.06739,0.95045,0.97483,0.97808,0.79485,1.02807,0.52866,1.4237,0.000854,0.000854,0.000854
34,12733.1,0.90845,0.44879,1.06282,0.95628,0.97418,0.97038,0.80974,0.99028,0.56979,1.35677,0.000841625,0.000841625,0.000841625
35,13075.5,0.90952,0.44559,1.06994,0.94753,0.98735,0.9786,0.81467,0.97479,0.53057,1.38581,0.00082925,0.00082925,0.00082925
36,13410.5,0.90788,0.44672,1.07009,0.95698,0.96879,0.97862,0.8258,0.93564,0.54658,1.37334,0.000816875,0.000816875,0.000816875
37,13823.7,0.88897,0.44052,1.04916,0.95784,0.97542,0.9788,0.82874,0.94162,0.51252,1.3665,0.0008045,0.0008045,0.0008045
38,14144.9,0.89651,0.43819,1.05882,0.96263,0.97675,0.9851,0.82523,0.98908,0.57691,1.4013,0.000792125,0.000792125,0.000792125
39,14464.2,0.89149,0.43373,1.0531,0.95644,0.98077,0.98184,0.81572,0.91676,0.49859,1.34096,0.00077975,0.00077975,0.00077975
